Posición,Pilotos,Escuderia,Puntos
1°,Lewis Hamilton,Mercedes,408
2°,Sebastian Vettel,Ferrari,320
3°,Kimi Räikkönen,Ferrari,251
4°,Max Verstappen,Red Bull,249
5°,Valtteri Bottas,Mercedes,247
6°,Daniel Ricciardo,Red Bull,170
7°,Nico Hülkenberg,Renault,69
8°,Sergio Pérez,Force India,62
9°,Kevin Magnussen,Haas F1 Team,56
10°,Carlos Sainz,Renault,53
11°,Fernando Alonso,McLaren,50
12°,Esteban Ocon,Force India,49
13°,Charels Leclerc,Sauber,39
14°,Romain Grosjean,Haas F1 Team,37
15°,Perre Gasly,Toro Rosso,29
16°,Stoffel Vandoorne,McLaren,12
17°,Marcus Ericsson,Sauber,9
18°,Lance Stroll,Williams,6
19°,Landon Hartley,Toro Rosso,4
20°,Sergey Sirotkin,Williams,1
