Posición,Piloto,Escudería,Puntos
1°,Lewis Hamilton,Mercedes,413
2°,Valtteri Bottas,Mercedes,326
3°,Max Verstappen,Red Bull,278
4°,Charles Leclerc,Ferrari,264
5°,Sebastian Vettel,Ferrari,240
6°,Carlos Sainz,McLaren,96
7°,Pierre Gasly,Red Bull,95
8°,Alexander Albon,Toro Rosso,92
9°,Daniel Ricciardo,Renault,54
10°,Sergio Pérez,Racing Point,52
11°,Lando Norris,McLaren,49
12°,Kimi Räikkönen,Alfa Romeo,43
13°,Daniil Kvyat,Toro Rosso,37
14°,Nico Hülkenberg,Renault,37
15°,Lance Stroll,Racing Point,21
16°,Kevin Mafnussen,Haas F1 Team,20
17°,Antonio Giovinazzi,Alfa Romeo,14
18°,Romain Grosjean,Haas F1 Team,8
19°,Robert Kubica,Williams,1
20°,George Russell,Williams,0
