posicion,corredor,escudería,puntos
1°,Max Verstappen,Red Bull,395.5
2°,Lewis Hamilton,Mercedes,387.5
3°,Valtteri Bottas,Mercedes,226
4°,Sergio Pérez,Red Bull,190
5°,Carlos Sainz,Ferrari,164.5
6°,Lando Norris,McLaren,160
7°,Charles Leclerc,Ferrari,159
8°,Daniel Ricciardo,McLaren,115
9°,Pierre Gasly,Alpha Tauri,110
10°,Fernando Alonso,Alpine F1 Team,81
11°,Esteban Ocon,Alpine F1 Team,74
12°,Sebastian Vettel,Aston Martin,43
13°,Lance Stroll,Aston Martin,34
14°,Yuki Tsunoda,Alpha Tauri,32
15°,George Russell,Williams,16
16°,Kimi Räikkönen,Alfa Romeo,10
17°,Nicholas Latifi,Williams,7
18°,Antonio Giovinazzi,Alfa Romeo,3
19°,Mick Schumacher,Haas F1 Team,0
20°,Robert Kubica,Alfa Romeo,0
21°,Nikita Mazepin,Haas F1 Team,0
